id,fromHouseholdId,toHouseholdId,personLinkIds,score,reasons,confidence,reviewStatus,placeMatch
household-link::1901::Dublin::Arran Quay::Aberdeen Street::6::1334125::1911::Dublin::Arran Quay::Aberdeen Street::6::38280,1901::Dublin::Arran Quay::Aberdeen Street::6::1334125,1911::Dublin::Arran Quay::Aberdeen Street::6::38280,person-link::5195852::273210,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Limerick::Knockainy::Rathanny::18::1489942::1911::Limerick::Knockainy::Rathanny::19::618589,1901::Limerick::Knockainy::Rathanny::18::1489942,1911::Limerick::Knockainy::Rathanny::19::618589,person-link::6917888::2519539|person-link::6917889::2519540|person-link::6917891::2519542|person-link::6917893::2519543,9,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1901::Limerick::Emlygrennan::Cush::19::1491679::1911::Limerick::Emlygrennan::Cush::21::620325,1901::Limerick::Emlygrennan::Cush::19::1491679,1911::Limerick::Emlygrennan::Cush::21::620325,person-link::6921814::3239226,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Limerick::Glenbrohane::Knockaunavlyman::7::1491959::1911::Limerick::Glenbrohane::Knockaunavlyman::7::620597,1901::Limerick::Glenbrohane::Knockaunavlyman::7::1491959,1911::Limerick::Glenbrohane::Knockaunavlyman::7::620597,person-link::6923213::3240514,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Limerick::Ballylanders::Killeen::8::1505870::1911::Limerick::Ballylanders::Killeen::15::634579,1901::Limerick::Ballylanders::Killeen::8::1505870,1911::Limerick::Ballylanders::Killeen::15::634579,person-link::7130324::3165891,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Limerick::Ballylanders::Killeen::9::1505871::1911::Limerick::Ballylanders::Killeen::16::634580,1901::Limerick::Ballylanders::Killeen::9::1505871,1911::Limerick::Ballylanders::Killeen::16::634580,person-link::7130328::3165895,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Limerick::Ballylanders::Killeen::13::1505874::1911::Limerick::Ballylanders::Killeen::10::634574,1901::Limerick::Ballylanders::Killeen::13::1505874,1911::Limerick::Ballylanders::Killeen::10::634574,person-link::7130343::3165863|person-link::7130344::3165864|person-link::7130345::3165865,8,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1901::Limerick::Duntryleague::Duntryleague::15::1506166::1911::Limerick::Duntryleague::Duntryleague::4::634851,1901::Limerick::Duntryleague::Duntryleague::15::1506166,1911::Limerick::Duntryleague::Duntryleague::4::634851,person-link::7131866::3167257|person-link::7131867::3167258|person-link::7131869::3167259|person-link::7131870::3167260|person-link::7131872::3167262|person-link::7131873::3167263,18,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1901::Limerick::Hospital::Ballycahill::12::1490918::1911::Limerick::Hospital::Ballycahill::7::619544,1901::Limerick::Hospital::Ballycahill::12::1490918,1911::Limerick::Hospital::Ballycahill::7::619544,person-link::7388543::3236945,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1901::Tipperary::Emly::Nickeres::2::1718183::1911::Tipperary::Emly::Nickeres::2::830956,1901::Tipperary::Emly::Nickeres::2::1718183,1911::Tipperary::Emly::Nickeres::2::830956,person-link::8227730::4112831|person-link::8227731::4112832|person-link::8227732::4112833|person-link::8227735::4112834,12,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1901::Tipperary::Shronell::Shronell Beg::9::1718626::1911::Tipperary::Shronell::Shronell Beg::11::831401,1901::Tipperary::Shronell::Shronell Beg::9::1718626,1911::Tipperary::Shronell::Shronell Beg::11::831401,person-link::8230055::4115004|person-link::8230058::4115006|person-link::8230060::4115007,9,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1911::Limerick::Ballylanders::Killeen::10::634574::1926::Limerick::Ballylanders::Killeen::::380628,1911::Limerick::Ballylanders::Killeen::10::634574,1926::Limerick::Ballylanders::Killeen::::380628,person-link::3165864::1361508|person-link::3165866::1361507|person-link::3165867::1361509,8,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1911::Limerick::Duntryleague::Duntryleague::4::634851::1926::Limerick::Duntryleague::Duntryleague::::272767,1911::Limerick::Duntryleague::Duntryleague::4::634851,1926::Limerick::Duntryleague::Duntryleague::::272767,person-link::3167257::1504942|person-link::3167258::1504943|person-link::3167262::1504945|person-link::3167264::1504947|person-link::3167265::1504948|person-link::3167266::1504949,17,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1911::Limerick::Hospital::Ballycahill::7::619544::1926::Limerick::Hospital::Ballycahill::::44287,1911::Limerick::Hospital::Ballycahill::7::619544,1926::Limerick::Hospital::Ballycahill::::44287,person-link::3236946::983488,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1911::Limerick::Emlygrennan::Cush::21::620325::1926::Limerick::Emlygrennan::Cush::::228748,1911::Limerick::Emlygrennan::Cush::21::620325,1926::Limerick::Emlygrennan::Cush::::228748,person-link::3239226::1506829,3,same_place|same_name|plausible_age_progression,possible,accepted,true
household-link::1911::Limerick::Glenbrohane::Ballyfroota::6::620539::1926::Limerick::Glenbrohane::Ballyfroota::::50767,1911::Limerick::Glenbrohane::Ballyfroota::6::620539,1926::Limerick::Glenbrohane::Ballyfroota::::50767,person-link::3240252::1517887|person-link::3240254::1517889|person-link::3240255::1517890|person-link::3240258::1517892,12,same_place|same_name|plausible_age_progression,strong,accepted,true
household-link::1911::Limerick::Glenbrohane::Knockaunavlyman::7::620597::1926::Limerick::Glenbrohane::Knockaunavlyman::::402008,1911::Limerick::Glenbrohane::Knockaunavlyman::7::620597,1926::Limerick::Glenbrohane::Knockaunavlyman::::402008,person-link::3240517::1518172|person-link::3240518::1518173|person-link::3240519::1518175,9,same_place|same_name|plausible_age_progression,strong,accepted,true
